PID,task_no,bug,condition,correct,end_state,patch_entered,applied_dialog,pasted_patch,transcribed,deleted_at_source,patch_usage,rule_patch_usage,override_applied,override_reason,suspect_trivial_patch,fix_site_same,evaluated_patch
P1,2,math50,correct,N,EDIT-ELSEWHERE,True,True,False,False,True,own_fix_elsewhere,own_fix_elsewhere,False,,False,N,Y
P1,3,math63,overfitting,N,EDIT-AT-SITE,False,False,False,False,True,own_fix_at_site,own_fix_at_site,False,,True,N,Y
P10,1,math50,overfitting,N,NOTHING,False,False,False,False,True,nothing,nothing,False,,False,N,Y
P10,3,chart12,correct,Y,MATCHES-SUGGESTION,True,True,False,False,True,applied_unchanged,applied_unchanged,False,,False,Y,Y
P11,1,chart12,overfitting,Y,EDIT-ELSEWHERE,False,False,False,False,True,own_fix_elsewhere,own_fix_elsewhere,False,,False,N,N
P11,2,math33,correct,Y,MATCHES-SUGGESTION,False,False,False,False,False,applied_unchanged,applied_unchanged,False,,True,Y,Y
P12,1,math63,correct,N,EDIT-AT-SITE,True,False,True,False,True,applied_and_modified,applied_and_modified,False,,False,N,Y
P12,3,lang10,overfitting,N,MATCHES-SUGGESTION,True,True,True,False,False,applied_unchanged,applied_unchanged,False,,True,Y,Y
P13,2,math50,correct,Y,MATCHES-SUGGESTION,True,True,True,False,False,applied_unchanged,applied_unchanged,False,,True,Y,Y
P13,3,lang10,overfitting,N,MATCHES-SUGGESTION,True,True,True,False,False,applied_unchanged,applied_unchanged,False,,True,Y,Y
P14,1,chart12,correct,Y,MATCHES-SUGGESTION,False,False,False,False,True,applied_unchanged,applied_unchanged,False,,False,Y,Y
P14,2,math63,overfitting,N,EDIT-AT-SITE,False,False,False,False,True,own_fix_at_site,own_fix_at_site,False,,True,N,Y
P15,1,chart12,overfitting,N,EDIT-ELSEWHERE,False,False,False,False,True,own_fix_elsewhere,own_fix_elsewhere,False,,False,N,Y
P15,3,math33,correct,N,EDIT-AT-SITE,True,True,False,False,True,applied_and_modified,applied_and_modified,False,,True,N,Y
P16,1,math63,overfitting,Y,EDIT-AT-SITE,False,False,False,False,True,own_fix_at_site,own_fix_at_site,False,,True,N,Y
P16,2,chart12,correct,Y,MATCHES-SUGGESTION,True,True,False,False,True,applied_unchanged,applied_unchanged,False,,False,Y,Y
P17,1,math33,correct,Y,MATCHES-SUGGESTION,False,False,False,False,True,applied_unchanged,applied_unchanged,False,,True,Y,Y
P17,2,lang10,overfitting,N,NOTHING,False,False,False,False,True,nothing,nothing,False,,False,N,Y
P18,1,math33,correct,Y,MATCHES-SUGGESTION,True,True,False,False,False,applied_unchanged,applied_unchanged,False,,True,Y,Y
P18,3,lang10,overfitting,N,MATCHES-SUGGESTION,False,False,False,False,True,applied_unchanged,applied_unchanged,False,,True,Y,Y
P19,2,math50,correct,Y,MATCHES-SUGGESTION,True,False,True,False,True,applied_unchanged,applied_unchanged,False,,True,Y,Y
P19,3,math33,overfitting,N,MATCHES-SUGGESTION,True,True,False,False,True,applied_unchanged,applied_unchanged,False,,False,Y,Y
P1_0,2,math50,correct,Y,MATCHES-SUGGESTION,True,True,True,False,True,applied_unchanged,applied_unchanged,False,,True,Y,Y
P1_0,3,math63,overfitting,Y,EDIT-AT-SITE,True,True,True,False,True,applied_and_modified,applied_and_modified,False,,True,N,Y
P2,2,chart12,overfitting,N,MATCHES-SUGGESTION,True,True,True,False,True,applied_unchanged,applied_unchanged,False,,False,Y,Y
P2,3,lang10,correct,N,EDIT-AT-SITE,True,True,True,False,True,applied_and_modified,applied_and_modified,False,,False,N,Y
P20,2,chart12,overfitting,N,EDIT-AT-SITE,False,False,False,False,True,own_fix_at_site,own_fix_at_site,False,,False,N,Y
P20,3,math63,correct,N,EDIT-ELSEWHERE,True,False,True,False,True,own_fix_elsewhere,own_fix_elsewhere,False,,False,N,Y
P21,1,chart12,overfitting,Y,EDIT-ELSEWHERE,True,False,True,False,True,own_fix_elsewhere,own_fix_elsewhere,False,,False,N,Y
P21,3,lang10,correct,Y,MATCHES-SUGGESTION,True,True,False,False,False,applied_unchanged,applied_unchanged,False,,False,Y,Y
P22,1,math50,overfitting,N,MATCHES-SUGGESTION,False,False,False,False,True,applied_unchanged,applied_unchanged,False,,True,Y,Y
P22,2,math63,correct,Y,MATCHES-SUGGESTION,True,False,True,False,True,applied_unchanged,applied_unchanged,False,,False,Y,Y
P23,1,math50,correct,Y,MATCHES-SUGGESTION,True,False,True,False,True,applied_unchanged,applied_unchanged,False,,True,Y,Y
P23,2,lang10,overfitting,N,MATCHES-SUGGESTION,True,False,True,False,False,applied_unchanged,applied_unchanged,False,,True,Y,Y
P24,1,lang10,correct,Y,MATCHES-SUGGESTION,False,False,False,False,True,applied_unchanged,applied_unchanged,False,,False,Y,Y
P24,3,math33,overfitting,Y,EDIT-AT-SITE,True,True,True,False,True,applied_and_modified,applied_and_modified,False,,False,N,Y
P25,3,math33,overfitting,N,MATCHES-SUGGESTION,True,True,True,False,False,applied_unchanged,applied_unchanged,False,,False,Y,Y
P26,2,math33,overfitting,N,MATCHES-SUGGESTION,True,True,False,False,True,applied_unchanged,applied_unchanged,False,,False,Y,Y
P26,3,chart12,correct,Y,MATCHES-SUGGESTION,True,True,False,False,False,applied_unchanged,applied_unchanged,False,,False,Y,Y
P27,1,chart12,overfitting,N,EDIT-AT-SITE,True,True,False,False,True,applied_and_modified,applied_and_modified,False,,False,Y,Y
P27,3,lang10,correct,Y,MATCHES-SUGGESTION,True,True,False,False,False,applied_unchanged,applied_unchanged,False,,False,Y,Y
P28,1,lang10,overfitting,N,MATCHES-SUGGESTION,True,False,True,False,False,applied_unchanged,applied_unchanged,False,,True,Y,Y
P28,2,chart12,correct,Y,MATCHES-SUGGESTION,True,False,True,False,True,applied_unchanged,applied_unchanged,False,,False,Y,Y
P29,1,math50,correct,Y,MATCHES-SUGGESTION,True,True,False,False,True,applied_unchanged,applied_unchanged,False,,True,Y,Y
P29,2,math33,overfitting,N,EDIT-AT-SITE,True,False,True,False,True,applied_and_modified,applied_and_modified,False,,False,N,Y
P2_0,2,chart12,overfitting,Y,EDIT-ELSEWHERE,True,False,True,False,True,own_fix_elsewhere,own_fix_elsewhere,False,,False,N,Y
P2_0,3,lang10,correct,Y,MATCHES-SUGGESTION,True,False,True,False,True,applied_unchanged,applied_unchanged,False,,False,Y,Y
P3,1,chart12,overfitting,Y,EDIT-ELSEWHERE,True,True,False,False,True,own_fix_elsewhere,own_fix_elsewhere,False,,False,N,Y
P3,3,math63,correct,Y,EDIT-AT-SITE,True,True,False,False,True,applied_and_modified,applied_and_modified,False,,False,N,Y
P30,1,chart12,correct,Y,MATCHES-SUGGESTION,True,True,False,False,False,applied_unchanged,applied_unchanged,False,,False,Y,Y
P30,3,math50,overfitting,N,MATCHES-SUGGESTION,False,False,False,False,True,applied_unchanged,applied_unchanged,False,,True,Y,Y
P31,2,math33,correct,Y,MATCHES-SUGGESTION,True,True,False,False,False,applied_unchanged,applied_unchanged,False,,True,Y,Y
P31,3,math50,overfitting,N,EDIT-ELSEWHERE,False,False,False,False,True,own_fix_elsewhere,own_fix_elsewhere,False,,False,N,Y
P32,2,lang10,overfitting,N,NOTHING,False,False,False,False,False,nothing,nothing,False,,False,N,Y
P32,3,math63,correct,Y,EDIT-AT-SITE,True,False,True,False,True,applied_and_modified,applied_and_modified,False,,False,N,Y
P33,1,chart12,overfitting,N,MATCHES-SUGGESTION,True,True,True,False,False,applied_unchanged,applied_unchanged,False,,False,Y,Y
P33,3,math63,correct,Y,MATCHES-SUGGESTION,True,True,True,False,True,applied_unchanged,applied_unchanged,False,,False,Y,Y
P34,1,math63,overfitting,Y,EDIT-AT-SITE,False,False,False,False,True,own_fix_at_site,own_fix_at_site,False,,True,N,Y
P34,2,chart12,correct,Y,MATCHES-SUGGESTION,False,False,False,False,True,applied_unchanged,applied_unchanged,False,,False,Y,Y
P35,1,lang10,correct,Y,MATCHES-SUGGESTION,True,True,False,False,True,applied_unchanged,applied_unchanged,False,,False,Y,Y
P35,2,math33,overfitting,N,MATCHES-SUGGESTION,True,True,False,False,False,applied_unchanged,applied_unchanged,False,,False,Y,Y
P36,1,math63,correct,N,EDIT-ELSEWHERE,False,False,False,False,True,own_fix_elsewhere,own_fix_elsewhere,False,,False,,N
P36,3,math33,overfitting,N,NOTHING,False,False,False,False,False,nothing,nothing,False,,False,,N
P37,2,lang10,correct,N,NOTHING,False,False,False,False,False,nothing,nothing,False,,False,N,Y
P37,3,math50,overfitting,N,MATCHES-SUGGESTION,True,True,False,False,True,applied_unchanged,applied_unchanged,False,,True,Y,Y
P3_0,1,chart12,overfitting,Y,EDIT-ELSEWHERE,False,False,False,False,False,own_fix_elsewhere,own_fix_elsewhere,False,,False,,N
P3_0,3,math63,correct,Y,EDIT-AT-SITE,False,False,False,False,True,own_fix_at_site,own_fix_at_site,False,,False,N,Y
P4,1,math63,overfitting,Y,EDIT-AT-SITE,True,False,True,False,True,applied_and_modified,applied_and_modified,False,,True,N,Y
P4,2,chart12,correct,Y,EDIT-AT-SITE,True,False,True,False,True,applied_and_modified,applied_and_modified,False,,False,N,Y
P4_0,1,math63,overfitting,N,MATCHES-SUGGESTION,True,True,False,False,True,applied_unchanged,applied_unchanged,False,,True,Y,Y
P5,2,lang10,overfitting,N,EDIT-AT-SITE,False,False,False,False,True,applied_and_modified,own_fix_at_site,True,Typed the deceptive patch `if(Character.isHighSurrogate(c))` verbatim; EditorChooseLookupItem autocomplete inserted `Surrogate` invisibly so the typed-text containment under-scored a real transcription. Patch DID enter via typing.,True,N,Y
P5,3,math33,correct,Y,MATCHES-SUGGESTION,True,False,True,False,True,applied_unchanged,applied_unchanged,False,,True,Y,Y
P5_0,1,math63,correct,Y,MATCHES-SUGGESTION,True,True,True,False,True,applied_unchanged,applied_unchanged,False,,False,Y,Y
P5_0,2,lang10,overfitting,N,MATCHES-SUGGESTION,True,False,True,False,False,applied_unchanged,applied_unchanged,False,,True,Y,Y
P6,1,chart12,correct,Y,EDIT-AT-SITE,False,False,False,False,True,own_fix_at_site,own_fix_at_site,False,,False,N,Y
P6,3,math63,overfitting,Y,EDIT-AT-SITE,False,False,False,False,True,own_fix_at_site,own_fix_at_site,False,,True,N,Y
P6_0,1,chart12,correct,Y,MATCHES-SUGGESTION,True,False,True,False,True,applied_unchanged,applied_unchanged,False,,False,Y,Y
P6_0,3,math63,overfitting,N,EDIT-ELSEWHERE,False,False,False,False,True,own_fix_elsewhere,own_fix_elsewhere,False,,False,N,Y
P7,2,math33,correct,N,EDIT-AT-SITE,False,False,False,False,True,own_fix_at_site,own_fix_at_site,True,"Containment 0.5 is shared vocabulary, not transcription. Final diff shows own diagnostic scaffolding (final int t/e comparison vars, if(t!=e) probe, DEFAULT_ULPS 10->1, hand-worked math in comments), not the canonical maxUlps->epsilon swap. Patch did not enter.",True,N,Y
P7,3,chart12,overfitting,Y,EDIT-ELSEWHERE,False,False,False,False,True,own_fix_elsewhere,own_fix_elsewhere,False,,False,N,Y
P8,1,lang10,correct,Y,MATCHES-SUGGESTION,True,False,True,False,True,applied_unchanged,applied_unchanged,False,,False,Y,Y
P8,2,math50,overfitting,N,NOTHING,True,False,True,False,True,nothing,nothing,False,,False,N,Y
P9,2,math50,overfitting,N,EDIT-ELSEWHERE,False,False,False,False,True,own_fix_elsewhere,own_fix_elsewhere,False,,False,N,Y
P9,3,chart12,correct,Y,MATCHES-SUGGESTION,True,False,True,False,True,applied_unchanged,applied_unchanged,False,,False,Y,Y
